song,spotify uri_code,img
Personal Jesus - 2006 Remaster,spotify:track:7dhM0KUBxuZV9z5iNodLyn,https://i.scdn.co/image/ab67616d0000b2734f3ca7fc40ca3a41ca934764
Plastic Beach (feat. Mick Jones and Paul Simonon),spotify:track:2nZ33CKRbgpJQJJQKHuGXb,https://i.scdn.co/image/ab67616d0000b273661d019f34569f79eae9e985
Please Please Me - Remastered 2009,spotify:track:6EHuOufBeL6vk3TvVJB5qo,https://i.scdn.co/image/ab67616d0000b273dbeec63ad914c973e75c24df
Pompeii,spotify:track:3gbBpTdY8lnQwqxNCcf795,https://i.scdn.co/image/ab67616d0000b273258225089decfb3d5c3718d3
Power,spotify:track:2gZUPNdnz5Y45eiGxpHGSc,https://i.scdn.co/image/ab67616d0000b273d9194aa18fa4c9362b47464f
Power Trip (feat. Miguel),spotify:track:2uwnP6tZVVmTovzX5ELooy,https://i.scdn.co/image/ab67616d0000b273c1bb124f993488cf21b269fc
Praise The Lord (Da Shine) (feat. Skepta),spotify:track:7ycWLEP1GsNjVvcjawXz3z,https://i.scdn.co/image/ab67616d0000b2739feadc48ab0661e9b3a9170b
Pure Water (with Migos),spotify:track:3j84U36KvLeXNDPv4t5pI8,https://i.scdn.co/image/ab67616d0000b27393b1e96fad758869d0974162
Pursuit Of Happiness (Nightmare),spotify:track:5iSEsR6NKjlC9SrIJkyL3k,https://i.scdn.co/image/ab67616d0000b273aab2c3c3f1f3207137d915c9
Pursuit Of Happiness - Extended Steve Aoki Remix,spotify:track:5PX4uS1LqlWEPL69phPVQQ,https://i.scdn.co/image/ab67616d0000b273fe7908b7666690bf4e83ce14
Rebel Yell,spotify:track:4TIJ7zSBNejpoIPaWpWRKc,https://i.scdn.co/image/ab67616d0000b273ea07dca8b4ca808c1e5b17fb
Replay,spotify:track:5vlEg2fT4cFWAqU5QptIpQ,https://i.scdn.co/image/ab67616d0000b273322b086aec3e63cc7caf30c6
Right Round,spotify:track:3GpbwCm3YxiWDvy29Uo3vP,https://i.scdn.co/image/ab67616d0000b27318aa5d7e6d484b832cd5d03f
Rise and Shine,spotify:track:1CivPhVrRCMZixFOQe3NKx,https://i.scdn.co/image/ab67616d0000b27399da48a530f6ca2ef86da3cc
Roadhouse Blues,spotify:track:1Q5kgpp4pmyGqPwNBzkSrw,https://i.scdn.co/image/ab67616d0000b273f12a8a7e0b2cbe16d2bef4dc
Roar,spotify:track:27tNWlhdAryQY04Gb2ZhUI,https://i.scdn.co/image/ab67616d0000b2731e9a057052d59004caf47e22
